Date,Line_ID,Status,Part_Produced,Target_Batches,Target_Qty
2024-01-01,Line_1,Production,Engine Block,7,527
2024-01-01,Line_2,Production,Cylinder Head,8,1162
2024-01-01,Line_2,Production,Oil Pan,7,1592
2024-01-01,Line_3,Production,Cylinder Liner,7,5386
2024-01-01,Line_3,Production,Camshaft Pulley,4,3434
2024-01-02,Line_1,Production,Engine Block,7,527
2024-01-02,Line_2,Production,Cylinder Head,8,1162
2024-01-02,Line_2,Production,Oil Pan,7,1592
2024-01-02,Line_3,Production,Cylinder Liner,7,5386
2024-01-02,Line_3,Production,Camshaft Pulley,4,3434
2024-01-03,Line_1,Production,Engine Block,7,527
2024-01-03,Line_2,Production,Cylinder Head,8,1162
2024-01-03,Line_2,Production,Oil Pan,7,1592
2024-01-03,Line_3,Production,Cylinder Liner,7,5386
2024-01-03,Line_3,Production,Camshaft Pulley,4,3434
2024-01-04,Line_1,Production,Engine Block,7,527
2024-01-04,Line_2,Production,Cylinder Head,8,1162
2024-01-04,Line_2,Production,Oil Pan,7,1592
2024-01-04,Line_3,Production,Cylinder Liner,7,5386
2024-01-04,Line_3,Production,Camshaft Pulley,4,3434
2024-01-05,Line_1,Production,Engine Block,7,527
2024-01-05,Line_2,Production,Cylinder Head,8,1162
2024-01-05,Line_2,Production,Oil Pan,7,1592
2024-01-05,Line_3,Production,Cylinder Liner,7,5386
2024-01-05,Line_3,Production,Camshaft Pulley,4,3434
2024-01-06,Line_1,Production,Engine Block,7,527
2024-01-06,Line_2,Production,Cylinder Head,8,1161
2024-01-06,Line_2,Production,Oil Pan,7,1592
2024-01-06,Line_3,Production,Cylinder Liner,7,5386
2024-01-06,Line_3,Production,Camshaft Pulley,4,3434
2024-01-08,Line_1,Production,Engine Block,7,527
2024-01-08,Line_2,Production,Cylinder Head,8,1161
2024-01-08,Line_2,Production,Oil Pan,7,1592
2024-01-08,Line_3,Production,Cylinder Liner,7,5386
2024-01-08,Line_3,Production,Camshaft Pulley,4,3433
2024-01-09,Line_1,Production,Engine Block,7,527
2024-01-09,Line_2,Production,Cylinder Head,8,1161
2024-01-09,Line_2,Production,Oil Pan,7,1592
2024-01-09,Line_3,Production,Cylinder Liner,7,5386
2024-01-09,Line_3,Production,Camshaft Pulley,4,3433
2024-01-10,Line_1,Production,Engine Block,7,527
2024-01-10,Line_2,Production,Cylinder Head,8,1161
2024-01-10,Line_2,Production,Oil Pan,7,1592
2024-01-10,Line_3,Production,Cylinder Liner,7,5386
2024-01-10,Line_3,Production,Camshaft Pulley,4,3433
2024-01-11,Line_1,Production,Engine Block,7,527
2024-01-11,Line_2,Production,Cylinder Head,8,1161
2024-01-11,Line_2,Production,Oil Pan,7,1592
2024-01-11,Line_3,Production,Cylinder Liner,7,5386
2024-01-11,Line_3,Production,Camshaft Pulley,4,3433
2024-01-12,Line_1,Production,Engine Block,7,527
2024-01-12,Line_2,Production,Cylinder Head,8,1161
2024-01-12,Line_2,Production,Oil Pan,7,1592
2024-01-12,Line_3,Production,Cylinder Liner,7,5386
2024-01-12,Line_3,Production,Camshaft Pulley,4,3433
2024-01-13,Line_1,Production,Engine Block,7,527
2024-01-13,Line_2,Production,Cylinder Head,8,1161
2024-01-13,Line_2,Production,Oil Pan,7,1592
2024-01-13,Line_3,Production,Cylinder Liner,7,5386
2024-01-13,Line_3,Production,Camshaft Pulley,4,3433
2024-01-15,Line_1,Production,Engine Block,7,527
2024-01-15,Line_2,Production,Cylinder Head,8,1161
2024-01-15,Line_2,Production,Oil Pan,7,1592
2024-01-15,Line_3,Production,Cylinder Liner,7,5386
2024-01-15,Line_3,Production,Camshaft Pulley,4,3433
2024-01-16,Line_1,Production,Engine Block,7,527
2024-01-16,Line_2,Production,Cylinder Head,8,1161
2024-01-16,Line_2,Production,Oil Pan,7,1592
2024-01-16,Line_3,Production,Cylinder Liner,7,5386
2024-01-16,Line_3,Production,Camshaft Pulley,4,3433
2024-01-17,Line_1,Production,Engine Block,7,527
2024-01-17,Line_2,Production,Cylinder Head,8,1161
2024-01-17,Line_2,Production,Oil Pan,7,1592
2024-01-17,Line_3,Production,Cylinder Liner,7,5386
2024-01-17,Line_3,Production,Camshaft Pulley,4,3433
2024-01-18,Line_1,Production,Engine Block,7,527
2024-01-18,Line_2,Production,Cylinder Head,8,1161
2024-01-18,Line_2,Production,Oil Pan,7,1592
2024-01-18,Line_3,Production,Cylinder Liner,7,5386
2024-01-18,Line_3,Production,Camshaft Pulley,4,3433
2024-01-19,Line_1,Production,Engine Block,7,527
2024-01-19,Line_2,Production,Cylinder Head,8,1161
2024-01-19,Line_2,Production,Oil Pan,7,1592
2024-01-19,Line_3,Production,Cylinder Liner,7,5386
2024-01-19,Line_3,Production,Camshaft Pulley,4,3433
2024-01-20,Line_1,Production,Engine Block,7,526
2024-01-20,Line_2,Production,Cylinder Head,8,1161
2024-01-20,Line_2,Production,Oil Pan,7,1591
2024-01-20,Line_3,Production,Cylinder Liner,7,5386
2024-01-20,Line_3,Production,Camshaft Pulley,4,3433
2024-01-22,Line_1,Production,Engine Block,7,526
2024-01-22,Line_2,Production,Cylinder Head,8,1161
2024-01-22,Line_2,Production,Oil Pan,7,1591
2024-01-22,Line_3,Production,Cylinder Liner,7,5386
2024-01-22,Line_3,Production,Camshaft Pulley,4,3433
2024-01-23,Line_1,Production,Engine Block,7,526
2024-01-23,Line_2,Production,Cylinder Head,8,1161
2024-01-23,Line_2,Production,Oil Pan,7,1591
2024-01-23,Line_3,Production,Cylinder Liner,7,5386
2024-01-23,Line_3,Production,Camshaft Pulley,4,3433
2024-01-24,Line_1,Production,Engine Block,7,526
2024-01-24,Line_2,Production,Cylinder Head,8,1161
2024-01-24,Line_2,Production,Oil Pan,7,1591
2024-01-24,Line_3,Production,Cylinder Liner,7,5386
2024-01-24,Line_3,Production,Camshaft Pulley,4,3433
2024-01-25,Line_1,Production,Engine Block,7,526
2024-01-25,Line_2,Production,Cylinder Head,8,1161
2024-01-25,Line_2,Production,Oil Pan,7,1591
2024-01-25,Line_3,Production,Cylinder Liner,7,5386
2024-01-25,Line_3,Production,Camshaft Pulley,4,3433
2024-01-26,Line_1,Production,Engine Block,7,526
2024-01-26,Line_2,Production,Cylinder Head,8,1161
2024-01-26,Line_2,Production,Oil Pan,7,1591
2024-01-26,Line_3,Production,Cylinder Liner,7,5386
2024-01-26,Line_3,Production,Camshaft Pulley,4,3433
2024-01-27,Line_1,Production,Engine Block,7,526
2024-01-27,Line_2,Production,Cylinder Head,8,1161
2024-01-27,Line_2,Production,Oil Pan,7,1591
2024-01-27,Line_3,Production,Cylinder Liner,7,5386
2024-01-27,Line_3,Production,Camshaft Pulley,4,3433
2024-01-29,Line_1,Production,Engine Block,7,526
2024-01-29,Line_2,Production,Cylinder Head,8,1161
2024-01-29,Line_2,Production,Oil Pan,7,1591
2024-01-29,Line_3,Production,Cylinder Liner,7,5386
2024-01-29,Line_3,Production,Camshaft Pulley,4,3433
2024-01-30,Line_1,Production,Engine Block,7,526
2024-01-30,Line_2,Production,Cylinder Head,8,1161
2024-01-30,Line_2,Production,Oil Pan,7,1591
2024-01-30,Line_3,Production,Cylinder Liner,7,5385
2024-01-30,Line_3,Production,Camshaft Pulley,4,3433
2024-01-31,Line_1,Production,Engine Block,7,526
2024-01-31,Line_2,Production,Cylinder Head,8,1161
2024-01-31,Line_2,Production,Oil Pan,7,1591
2024-01-31,Line_3,Production,Cylinder Liner,7,5385
2024-01-31,Line_3,Production,Camshaft Pulley,4,3433
2024-01-07,Line_1,Maintenance_Weekly,None,0,0
2024-01-07,Line_2,Maintenance_Weekly,None,0,0
2024-01-07,Line_3,Maintenance_Weekly,None,0,0
2024-01-14,Line_1,Maintenance_Weekly,None,0,0
2024-01-14,Line_2,Maintenance_Weekly,None,0,0
2024-01-14,Line_3,Maintenance_Weekly,None,0,0
2024-01-21,Line_1,Maintenance_Weekly,None,0,0
2024-01-21,Line_2,Maintenance_Weekly,None,0,0
2024-01-21,Line_3,Maintenance_Weekly,None,0,0
2024-01-28,Line_1,Maintenance_Weekly,None,0,0
2024-01-28,Line_2,Maintenance_Weekly,None,0,0
2024-01-28,Line_3,Maintenance_Weekly,None,0,0
2024-02-01,Line_1,Production,Engine Block,7,557
2024-02-01,Line_2,Production,Cylinder Head,8,1147
2024-02-01,Line_2,Production,Oil Pan,7,1742
2024-02-01,Line_3,Production,Cylinder Liner,8,5819
2024-02-01,Line_3,Production,Camshaft Pulley,4,3920
2024-02-02,Line_1,Production,Engine Block,7,557
2024-02-02,Line_2,Production,Cylinder Head,8,1147
2024-02-02,Line_2,Production,Oil Pan,7,1742
2024-02-02,Line_3,Production,Cylinder Liner,8,5819
2024-02-02,Line_3,Production,Camshaft Pulley,4,3920
2024-02-03,Line_1,Production,Engine Block,7,557
2024-02-03,Line_2,Production,Cylinder Head,8,1147
2024-02-03,Line_2,Production,Oil Pan,7,1742
2024-02-03,Line_3,Production,Cylinder Liner,8,5819
2024-02-03,Line_3,Production,Camshaft Pulley,4,3920
2024-02-05,Line_1,Production,Engine Block,7,557
2024-02-05,Line_2,Production,Cylinder Head,8,1147
2024-02-05,Line_2,Production,Oil Pan,7,1742
2024-02-05,Line_3,Production,Cylinder Liner,8,5819
2024-02-05,Line_3,Production,Camshaft Pulley,4,3920
2024-02-06,Line_1,Production,Engine Block,7,556
2024-02-06,Line_2,Production,Cylinder Head,8,1147
2024-02-06,Line_2,Production,Oil Pan,7,1742
2024-02-06,Line_3,Production,Cylinder Liner,8,5819
2024-02-06,Line_3,Production,Camshaft Pulley,4,3920
2024-02-07,Line_1,Production,Engine Block,7,556
2024-02-07,Line_2,Production,Cylinder Head,8,1147
2024-02-07,Line_2,Production,Oil Pan,7,1742
2024-02-07,Line_3,Production,Cylinder Liner,8,5819
2024-02-07,Line_3,Production,Camshaft Pulley,4,3920
2024-02-08,Line_1,Production,Engine Block,7,556
2024-02-08,Line_2,Production,Cylinder Head,8,1147
2024-02-08,Line_2,Production,Oil Pan,7,1742
2024-02-08,Line_3,Production,Cylinder Liner,8,5818
2024-02-08,Line_3,Production,Camshaft Pulley,4,3920
2024-02-09,Line_1,Production,Engine Block,7,556
