Line_ID,Date,Melting_kWh,Core_Making_kWh,Moulding_kWh,Ladle_kWh,Processing_kWh,Total_Line_kWh,Solar_Used_kWh,Grid_Used_kWh
Line_3,2024-01-01,17216.71,396.91,4638.8,125.76,654.53,23032.71,10207.33,12825.42
Line_3,2024-01-02,17319.63,395.46,4634.94,129.3,631.55,23110.88,10015.54,13095.34
Line_3,2024-01-03,17172.68,390.24,4631.87,119.11,658.69,22972.59,9658.56,13313.97
Line_3,2024-01-04,17075.49,404.44,4604.84,133.81,656.44,22875.02,9204.49,13670.51
Line_3,2024-01-05,17197.45,396.36,4621.61,119.51,644.41,22979.34,10100.77,12878.63
Line_3,2024-01-06,17248.59,391.27,4623.28,122.15,646.31,23031.6,10048.13,12983.45
Line_3,2024-01-07,2400.0,0.0,0.0,0.0,0.0,2400.0,1196.72,1203.28
Line_3,2024-01-08,17189.14,404.78,4630.58,129.36,644.32,22998.18,9873.37,13124.86
Line_3,2024-01-09,17220.85,407.8,4648.4,128.1,652.06,23057.21,8804.79,14252.4
Line_3,2024-01-10,17202.31,395.17,4651.74,131.11,657.11,23037.44,9970.79,13066.65
Line_3,2024-01-11,17114.51,407.74,4671.37,125.24,650.47,22969.33,10176.76,12792.62
Line_3,2024-01-12,17099.97,402.52,4586.12,135.67,668.07,22892.35,10141.11,12751.2
Line_3,2024-01-13,17255.56,399.52,4617.14,124.82,669.38,23066.42,10276.05,12790.39
Line_3,2024-01-14,2400.0,0.0,0.0,0.0,0.0,2400.0,1214.64,1185.36
Line_3,2024-01-15,17220.83,404.11,4592.72,126.52,645.96,22990.14,10164.93,12825.21
Line_3,2024-01-16,17174.49,393.26,4542.56,131.22,658.62,22900.15,10183.23,12716.91
Line_3,2024-01-17,17036.09,389.08,4602.06,129.28,645.92,22802.43,10149.3,12653.14
Line_3,2024-01-18,17169.45,406.72,4673.76,118.37,653.38,23021.68,10301.45,12720.11
Line_3,2024-01-19,17346.04,395.21,4600.21,119.01,658.35,23118.82,10128.15,12990.74
Line_3,2024-01-20,17189.8,403.14,4599.19,127.87,651.16,22971.16,10287.29,12683.86
Line_3,2024-01-21,2400.0,0.0,0.0,0.0,0.0,2400.0,1217.29,1182.71
Line_3,2024-01-22,17209.85,395.38,4627.89,124.24,646.59,23003.95,10357.37,12646.57
Line_3,2024-01-23,17217.66,418.44,4585.96,124.55,640.8,22987.41,10319.52,12667.96
Line_3,2024-01-24,17098.53,414.06,4635.2,125.15,637.2,22910.14,10382.13,12528.0
